Marca temporal,Genero ,¿Qué edad tienes?,¿Trabajas en la carretera? 🚚 ,¿Eres autónomo o asalariado?,¿Tienes momentos en los que la carga esta vacía?,¿Estarías dispuesto a recoger un envío adicional si este se ajusta a tu ruta actual y está disponible inmediatamente? 📍,¿Con qué frecuencia tienes viajes de retorno vacíos a la semana? ⌛,¿Qué tipo de vehículo usas?,¿Qué tipo de carga aceptas?, ¿Estarías dispuesto a compartir información sobre tus rutas y disponibilidad de espacio para mejorar la eficiencia?,¿Aceptarías un envío a cambio de un ingreso extra? ✔️💶,💡¿Tienes alguna sugerencia o característica específica que te gustaría que NEAR incluyera?,¿Utilizas servicios de paquetería habitualmente?,¿Con que frecuencia aproximadamente envías paquetes al mes? ⌛ ,¿Cambiarías el método de envió por uno más económico y sostenible?,¿Prefieres la recogida a domicilio, puntos de entrega locales, o ambas opciones? ,¿Qué tan dispuesto estarías a probar un nuevo servicio de envío como NEAR?,💡¿Tienes alguna sugerencia o característica específica que te gustaría que NEAR incluyera?.1
3/16/2024 21:09:29,Hombre,57.0,No,,,,,,,,,,Nunca,,,,,
3/16/2024 22:02:14,Hombre,28.0,No,,,,,,,,,,A veces,1-5,Sí,Ambas opciones,Muy dispuesto,
3/16/2024 22:07:46,Hombre,87.0,Si,Autonomo,Sí,Sí,1-3,,,Sí,Si,,,,,,,
3/17/2024 12:38:12,Hombre,29.0,No,,,,,,,,,,Nunca,,,,,
3/17/2024 12:40:15,Mujer,25.0,No,,,,,,,,,,A veces,1-5,Sí,Recogida a domicilio,Muy dispuesto,"Habría que incluir el tamaño del paquete en la app para que el conductor pueda valorar si le cabe o no el nuevo paquete en su camión.
Por otra parte, sería más seguro para el conductor y eficiente que otro se encargara de valorar cuántos paquetes nuevos caben y le fuera comunicando las nuevas paradas"
3/17/2024 12:41:49,Mujer,23.0,No,,,,,,,,,,A veces,10 o más,Sí,Punto de entrega,Poco dispuesto,Tiempo
3/17/2024 13:02:49,Hombre,18.0,No,,,,,,,,,,Sí,1-5,Sí,,Muy dispuesto,
3/17/2024 14:26:03,Mujer,45.0,No,,,,,,,,,,A veces,,Sí,Punto de entrega,Poco dispuesto,"Saber la experiencia o recorrido de quien ahora enviará mi paquete, para tener la seguridad de que esta en buenas manos."
3/17/2024 14:32:12,Mujer,28.0,No,,,,,,,,,,A veces,1-5,Sí,Ambas opciones,Muy dispuesto,"Que se muestre fiable, que tenga un buen sistema de seguimiento del paquete y garantías"
3/17/2024 14:34:36,Mujer,34.0,No,,,,,,,,,,A veces,1-5,Sí,Recogida a domicilio,Muy dispuesto,"Que el cliente que recibe el paquete confirme a través de la aplicación que recibió el pedido a satisfacción. Podría ser que el domiciliario haga firmar en un dispositivo móvil y la notificación le llegue al que solicitó el servicio. Sugiero esto porque me ha pasado varias veces que ni el domiciliario ni el cliente me confirman si el pedido si llegó y me toca contactar a alguno de ellos. Tampoco aclaran quien sería el responsable si el pedido se pierde."
3/17/2024 16:39:34,Hombre,19.0,No,,,,,,,,,,A veces,1-5,Sí,Ambas opciones,Muy dispuesto,
3/17/2024 21:37:14,Hombre,57.0,Si,Asalariado,Tal vez,Sí,3-5,,,Sí,Si,No de momento,,,,,,
3/17/2024 23:32:38,Hombre,19.0,No,,,,,,,,,,A veces,1-5,Sí,Ambas opciones,Muy dispuesto,
3/18/2024 0:04:23,Mujer,33.0,No,,,,,,,,,,A veces,1-5,Sí,Punto de entrega,Muy dispuesto,
